order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260725-0001,2026-07-25,S002,P1044,3,151.4,20,pickup,Y
20260725-0002,2026-07-25,S006,P1008,1,149.17,15,in_store,Y
20260725-0003,2026-07-25,S001,P1068,4,64.74,20,in_store,N
20260725-0004,2026-07-25,S006,P1012,4,123.66,0,ship_from_store,N
20260725-0005,2026-07-25,S003,P1043,1,192.8,20,ship_from_store,Y
20260725-0006,2026-07-25,S001,P1045,3,348.41,0,ship_from_store,Y
20260725-0007,2026-07-25,S006,P1016,3,507.27,20,in_store,Y
20260725-0008,2026-07-25,S007,P1054,4,60.08,15,in_store,Y
20260725-0009,2026-07-25,S008,P1003,2,404.08,10,pickup,Y
20260725-0010,2026-07-25,S003,P1008,1,149.17,15,in_store,Y
20260725-0011,2026-07-25,S007,P1004,1,109.9,0,pickup,Y
20260725-0012,2026-07-25,S002,P1054,2,63.61,10,ship_from_store,Y
20260725-0013,2026-07-25,S004,P1076,1,686.08,0,in_store,Y
20260725-0014,2026-07-25,S006,P1075,1,165.22,0,in_store,Y
20260725-0015,2026-07-25,S001,P1030,2,126.26,0,pickup,N
20260725-0016,2026-07-25,S002,P1019,4,178.99,0,in_store,Y
20260725-0017,2026-07-25,S005,P1052,1,388.91,0,in_store,Y
20260725-0018,2026-07-25,S004,P1072,1,114.15,15,ship_from_store,Y
20260725-0019,2026-07-25,S007,P1056,4,144.01,0,in_store,N
20260725-0020,2026-07-25,S004,P1075,4,165.22,0,ship_from_store,Y
20260725-0021,2026-07-25,S006,P1032,1,164.97,15,ship_from_store,Y
20260725-0022,2026-07-25,S006,P1024,1,86.06,5,in_store,Y
20260725-0023,2026-07-25,S007,P1071,4,121.81,15,in_store,Y
20260725-0024,2026-07-25,S007,P1028,1,550.39,15,in_store,N
20260725-0025,2026-07-25,S002,P1061,1,147.84,0,in_store,Y
20260725-0026,2026-07-25,S001,P1058,1,210.87,20,in_store,Y
20260725-0027,2026-07-25,S002,P1014,1,204.67,0,in_store,Y
20260725-0028,2026-07-25,S004,P1080,2,114.4,20,in_store,Y
20260725-0029,2026-07-25,S001,P1001,4,104.66,20,in_store,Y
20260725-0030,2026-07-25,S006,P1080,4,121.55,15,ship_from_store,Y
20260725-0031,2026-07-25,S004,P1062,2,162.16,5,in_store,Y
20260725-0032,2026-07-25,S003,P1004,4,98.91,10,ship_from_store,Y
20260725-0033,2026-07-25,S004,P1054,4,63.61,10,in_store,Y
20260725-0034,2026-07-25,S003,P1016,2,634.09,0,in_store,N
20260725-0035,2026-07-25,S006,P1049,1,177.61,20,in_store,Y
20260725-0036,2026-07-25,S002,P1002,2,203.43,0,pickup,Y
20260725-0037,2026-07-25,S002,P1049,2,199.81,10,in_store,Y
20260725-0038,2026-07-25,S003,P1046,2,221.75,5,in_store,N
20260725-0039,2026-07-25,S005,P1069,1,243.54,5,ship_from_store,N
20260725-0040,2026-07-25,S008,P1062,3,170.69,0,in_store,Y
20260725-0041,2026-07-25,S004,P1050,1,64.01,15,pickup,Y
20260725-0042,2026-07-25,S001,P1059,4,94.95,10,in_store,Y
20260725-0043,2026-07-25,S007,P1053,2,108.53,0,in_store,Y
20260725-0044,2026-07-25,S002,P1055,1,235.93,15,in_store,N
20260725-0045,2026-07-25,S006,P1067,4,253.63,5,in_store,Y
20260725-0046,2026-07-25,S007,P1037,1,91.75,0,in_store,Y
20260725-0047,2026-07-25,S005,P1040,2,108.81,0,in_store,Y
20260725-0048,2026-07-25,S003,P1079,4,256.21,0,ship_from_store,Y
20260725-0049,2026-07-25,S006,P1003,2,448.98,0,in_store,Y
20260725-0050,2026-07-25,S005,P1037,1,91.75,0,in_store,Y
20260725-0051,2026-07-25,S002,P1058,1,263.59,0,pickup,Y
20260725-0052,2026-07-25,S004,P1075,1,156.96,5,in_store,Y
20260725-0053,2026-07-25,S007,P1043,1,228.95,5,in_store,Y
20260725-0054,2026-07-25,S004,P1002,3,203.43,0,in_store,Y
20260725-0055,2026-07-25,S003,P1046,2,233.42,0,ship_from_store,Y
20260725-0056,2026-07-25,S006,P1080,2,135.85,5,pickup,Y
20260725-0057,2026-07-25,S004,P1007,1,95.56,15,in_store,Y
20260725-0058,2026-07-25,S002,P1018,1,130.36,15,pickup,Y
20260725-0059,2026-07-25,S006,P1040,4,108.81,0,in_store,Y
20260725-0060,2026-07-25,S007,P1070,2,172.14,15,pickup,N
20260725-0061,2026-07-25,S007,P1055,4,277.57,0,in_store,Y
20260725-0062,2026-07-25,S008,P1080,2,135.85,5,ship_from_store,Y
20260725-0063,2026-07-25,S005,P1022,2,388.71,0,in_store,Y
20260725-0064,2026-07-25,S004,P1018,3,145.69,5,ship_from_store,N
20260725-0065,2026-07-25,S004,P1022,1,388.71,0,in_store,Y
20260725-0066,2026-07-25,S003,P1002,1,162.74,20,in_store,Y
20260725-0067,2026-07-25,S004,P1025,4,112.14,10,in_store,Y
20260725-0068,2026-07-25,S006,P1059,2,94.95,10,in_store,Y
20260725-0069,2026-07-25,S005,P1019,1,143.19,20,in_store,Y
20260725-0070,2026-07-25,S004,P1067,1,266.98,0,in_store,Y
20260725-0071,2026-07-25,S008,P1002,1,172.92,15,in_store,Y
20260725-0072,2026-07-25,S001,P1052,2,388.91,0,in_store,Y
20260725-0073,2026-07-25,S003,P1035,2,118.18,20,pickup,Y
20260725-0074,2026-07-25,S006,P1011,3,113.11,15,in_store,Y
20260725-0075,2026-07-25,S004,P1080,1,128.7,10,in_store,N
20260725-0076,2026-07-25,S008,P1033,1,189.46,0,in_store,Y
20260725-0077,2026-07-25,S004,P1079,1,243.4,5,pickup,Y
20260725-0078,2026-07-25,S008,P1079,4,204.97,20,in_store,N
20260725-0079,2026-07-25,S007,P1031,4,156.18,10,pickup,Y
20260725-0080,2026-07-25,S006,P1001,4,130.82,0,in_store,Y
20260725-0081,2026-07-25,S007,P1001,1,117.74,10,in_store,Y
20260725-0082,2026-07-25,S003,P1057,1,369.15,10,in_store,N
20260725-0083,2026-07-25,S007,P1078,1,139.03,5,in_store,Y
20260725-0084,2026-07-25,S001,P1041,2,43.68,20,in_store,Y
20260725-0085,2026-07-25,S001,P1056,3,144.01,0,ship_from_store,N
20260725-0086,2026-07-25,S001,P1041,2,54.6,0,in_store,N
