order_id,order_date,store_id,new_product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260808-0001,2026-08-08,S007,NP5002,1,205.57,0,pickup,Y
20260808-0002,2026-08-08,S004,NP5060,4,166.65,0,in_store,Y
20260808-0003,2026-08-08,S007,NP5034,1,143.37,15,ship_from_store,N
20260808-0004,2026-08-08,S004,NP5019,1,179.93,0,in_store,N
20260808-0005,2026-08-08,S003,NP5015,3,190.74,0,in_store,Y
20260808-0006,2026-08-08,S007,NP5064,3,557.33,15,in_store,Y
20260808-0007,2026-08-08,S003,NP5062,1,155.13,5,ship_from_store,Y
20260808-0008,2026-08-08,S001,NP5050,4,67.0,10,pickup,N
20260808-0009,2026-08-08,S002,NP5058,1,287.12,0,pickup,Y
20260808-0010,2026-08-08,S002,NP5047,1,58.07,0,pickup,Y
20260808-0011,2026-08-08,S007,NP5049,1,223.44,0,in_store,N
20260808-0012,2026-08-08,S008,NP5034,1,168.67,0,in_store,N
20260808-0013,2026-08-08,S004,NP5037,3,80.44,10,in_store,Y
20260808-0014,2026-08-08,S003,NP5030,2,115.7,10,in_store,N
20260808-0015,2026-08-08,S003,NP5053,3,89.38,20,pickup,Y
20260808-0016,2026-08-08,S001,NP5044,1,184.07,5,ship_from_store,Y
20260808-0017,2026-08-08,S001,NP5009,2,118.72,0,pickup,Y
20260808-0018,2026-08-08,S004,NP5036,1,156.45,0,in_store,Y
20260808-0019,2026-08-08,S002,NP5069,4,210.19,5,pickup,N
20260808-0020,2026-08-08,S004,NP5014,1,190.87,10,in_store,Y
20260808-0021,2026-08-08,S004,NP5031,4,154.39,10,in_store,Y
20260808-0022,2026-08-08,S007,NP5030,1,115.7,10,in_store,N
20260808-0023,2026-08-08,S003,NP5049,1,223.44,0,ship_from_store,Y
20260808-0024,2026-08-08,S004,NP5037,1,89.38,0,ship_from_store,Y
20260808-0025,2026-08-08,S003,NP5011,4,112.76,15,pickup,Y
20260808-0026,2026-08-08,S004,NP5023,1,144.84,0,pickup,N
20260808-0027,2026-08-08,S008,NP5069,4,177.0,20,ship_from_store,N
20260808-0028,2026-08-08,S002,NP5013,1,99.43,0,ship_from_store,Y
20260808-0029,2026-08-08,S004,NP5035,1,144.26,0,in_store,N
20260808-0030,2026-08-08,S005,NP5024,1,70.7,20,in_store,N
20260808-0031,2026-08-08,S007,NP5019,3,161.94,10,ship_from_store,Y
20260808-0032,2026-08-08,S007,NP5034,1,168.67,0,in_store,N
20260808-0033,2026-08-08,S006,NP5041,1,53.54,0,ship_from_store,N
20260808-0034,2026-08-08,S002,NP5071,1,220.05,0,pickup,Y
20260808-0035,2026-08-08,S002,NP5055,2,279.48,0,in_store,N
20260808-0036,2026-08-08,S004,NP5072,3,755.47,5,ship_from_store,Y
20260808-0037,2026-08-08,S005,NP5050,3,67.0,10,in_store,N
20260808-0038,2026-08-08,S001,NP5014,1,190.87,10,ship_from_store,Y
20260808-0039,2026-08-08,S007,NP5016,1,648.67,0,in_store,N
20260808-0040,2026-08-08,S001,NP5008,2,166.43,5,ship_from_store,Y
20260808-0041,2026-08-08,S001,NP5061,2,146.48,5,pickup,Y
20260808-0042,2026-08-08,S006,NP5023,1,144.84,0,in_store,Y
20260808-0043,2026-08-08,S007,NP5059,1,108.91,0,in_store,Y
20260808-0044,2026-08-08,S007,NP5061,2,154.19,0,in_store,Y
20260808-0045,2026-08-08,S001,NP5055,1,265.51,5,in_store,Y
20260808-0046,2026-08-08,S007,NP5037,2,89.38,0,ship_from_store,Y
20260808-0047,2026-08-08,S005,NP5006,3,55.38,0,ship_from_store,Y
20260808-0048,2026-08-08,S008,NP5071,1,198.05,10,in_store,N
20260808-0049,2026-08-08,S003,NP5064,1,655.68,0,in_store,N
20260808-0050,2026-08-08,S002,NP5036,3,156.45,0,in_store,Y
20260808-0051,2026-08-08,S002,NP5054,3,65.39,10,in_store,Y
20260808-0052,2026-08-08,S001,NP5045,1,292.02,15,in_store,Y
20260808-0053,2026-08-08,S003,NP5067,1,247.56,0,pickup,N
20260808-0054,2026-08-08,S007,NP5056,3,148.79,0,in_store,N
20260808-0055,2026-08-08,S007,NP5021,4,66.33,10,pickup,Y
20260808-0056,2026-08-08,S005,NP5024,2,88.37,0,in_store,Y
20260808-0057,2026-08-08,S007,NP5072,2,795.23,0,in_store,Y
20260808-0058,2026-08-08,S006,NP5010,1,555.58,0,pickup,N
20260808-0059,2026-08-08,S003,NP5012,1,102.04,15,in_store,Y
20260808-0060,2026-08-08,S003,NP5072,2,636.18,20,in_store,Y
20260808-0061,2026-08-08,S007,NP5044,1,193.76,0,pickup,N
20260808-0062,2026-08-08,S002,NP5015,2,171.67,10,in_store,Y
20260808-0063,2026-08-08,S004,NP5062,3,138.8,15,ship_from_store,Y
20260808-0064,2026-08-08,S004,NP5053,3,111.73,0,pickup,Y
20260808-0065,2026-08-08,S002,NP5019,2,143.94,20,in_store,Y
20260808-0066,2026-08-08,S004,NP5058,4,229.7,20,in_store,Y
20260808-0067,2026-08-08,S001,NP5015,1,171.67,10,in_store,N
20260808-0068,2026-08-08,S003,NP5055,1,279.48,0,ship_from_store,Y
20260808-0069,2026-08-08,S002,NP5001,2,116.79,10,pickup,Y
20260808-0070,2026-08-08,S006,NP5026,3,115.83,10,in_store,Y
20260808-0071,2026-08-08,S004,NP5007,1,87.27,20,in_store,Y
20260808-0072,2026-08-08,S007,NP5009,1,100.91,15,in_store,Y
20260808-0073,2026-08-08,S008,NP5026,1,122.26,5,pickup,Y
20260808-0074,2026-08-08,S008,NP5005,1,106.75,5,in_store,N
20260808-0075,2026-08-08,S006,NP5013,1,89.49,10,in_store,Y
20260808-0076,2026-08-08,S002,NP5040,1,107.52,0,in_store,Y
20260808-0077,2026-08-08,S001,NP5067,4,198.05,20,in_store,Y
20260808-0078,2026-08-08,S007,NP5070,2,143.21,0,in_store,N
20260808-0079,2026-08-08,S003,NP5018,3,150.17,0,in_store,Y
20260808-0080,2026-08-08,S007,NP5072,2,795.23,0,in_store,Y
20260808-0081,2026-08-08,S006,NP5066,2,100.98,0,in_store,N
20260808-0082,2026-08-08,S005,NP5015,4,190.74,0,in_store,Y
20260808-0083,2026-08-08,S007,NP5056,3,148.79,0,pickup,N
20260808-0084,2026-08-08,S004,NP5076,3,149.26,5,in_store,N
20260808-0085,2026-08-08,S008,NP5061,2,146.48,5,in_store,N
20260808-0086,2026-08-08,S001,NP5051,1,343.22,20,ship_from_store,N
20260808-0087,2026-08-08,S006,NP5057,1,339.67,15,in_store,Y
20260808-0088,2026-08-08,S004,NP5074,4,139.14,15,pickup,Y
