product_id,new_product_id,match_status,match_confidence,match_method,notes,needs_review
P1001,NP5001,matched,high,exact_name,exact normalized name match,0
P1002,NP5002,matched,high,exact_name,exact normalized name match,0
P1003,NP5003,matched,high,exact_name,exact normalized name match,0
P1004,NP5004,matched,medium,attributes_fuzzy,attribute block unique; name_sim=0.81,1
P1005,NP5005,matched,high,exact_name,exact normalized name match,0
P1006,NP5006,matched,medium,attributes_fuzzy,attribute block unique; name_sim=0.80,1
P1007,NP5007,matched,high,attributes_fuzzy,attribute block unique; name_sim=0.85,0
P1008,NP5008,matched,high,exact_name,exact normalized name match,0
P1009,NP5009,matched,high,exact_name,exact normalized name match,0
P1010,NP5010,matched,high,exact_name,exact normalized name match,0
P1011,NP5011,matched,high,exact_name,exact normalized name match,0
P1012,NP5012,matched,high,exact_name,exact normalized name match,0
P1013,NP5013,matched,high,exact_name,exact normalized name match,0
P1014,NP5014,matched,high,exact_name,exact normalized name match,0
P1015,NP5015,matched,high,exact_name,exact normalized name match,0
P1016,NP5016,matched,high,exact_name,exact normalized name match,0
P1017,NP5017,matched,high,exact_name,exact normalized name match,0
P1018,NP5018,matched,high,exact_name,exact normalized name match,0
P1019,NP5019,matched,high,exact_name,exact normalized name match,0
P1020,NP5020,matched,high,attributes_fuzzy,attribute block unique; name_sim=0.85,0
P1021,NP5021,matched,high,exact_name,exact normalized name match,0
P1022,NP5022,matched,high,attributes_fuzzy,attribute block unique; name_sim=0.85,0
P1023,NP5023,matched,high,exact_name,exact normalized name match,0
P1024,NP5024,matched,high,exact_name,exact normalized name match,0
P1025,NP5025,matched,high,exact_name,exact normalized name match,0
P1026,NP5026,matched,high,exact_name,exact normalized name match,0
P1027,NP5027,matched,high,exact_name,exact normalized name match,0
P1028,NP5028,matched,high,exact_name,exact normalized name match,0
P1029,NP5029,matched,high,exact_name,exact normalized name match,0
P1030,NP5030,matched,high,exact_name,exact normalized name match,0
P1031,NP5031,matched,medium,attributes_fuzzy,attribute block unique; name_sim=0.84,1
P1032,NP5032,matched,high,exact_name,exact normalized name match,0
P1033,NP5033,matched,high,exact_name,exact normalized name match,0
P1034,NP5034,matched,high,exact_name,exact normalized name match,0
P1035,NP5035,matched,high,exact_name,exact normalized name match,0
P1036,NP5036,matched,medium,attributes_fuzzy,attribute block unique; name_sim=0.80,1
P1037,NP5037,matched,high,exact_name,exact normalized name match,0
P1038,NP5038,matched,high,attributes_fuzzy,attribute block unique; name_sim=0.91,0
P1039,NP5039,matched,high,exact_name,exact normalized name match,0
P1040,NP5040,matched,high,exact_name,exact normalized name match,0
P1041,NP5041,matched,high,exact_name,exact normalized name match,0
P1042,NP5042,matched,high,exact_name,exact normalized name match,0
P1043,NP5043,matched,high,exact_name,exact normalized name match,0
P1044,NP5044,matched,high,exact_name,exact normalized name match,0
P1045,NP5045,matched,high,exact_name,exact normalized name match,0
P1046,NP5046,matched,high,exact_name,exact normalized name match,0
P1047,NP5047,matched,high,exact_name,exact normalized name match,0
P1048,NP5048,matched,high,exact_name,exact normalized name match,0
P1049,NP5049,matched,high,exact_name,exact normalized name match,0
P1050,NP5050,matched,high,exact_name,exact normalized name match,0
P1051,NP5051,matched,high,exact_name,exact normalized name match,0
P1052,NP5052,matched,medium,attributes_fuzzy,attribute block unique; name_sim=0.81,1
P1053,NP5053,matched,high,exact_name,exact normalized name match,0
P1054,NP5054,matched,medium,attributes_fuzzy,attribute block unique; name_sim=0.80,1
P1055,NP5055,matched,high,attributes_fuzzy,attribute block unique; name_sim=0.85,0
P1056,NP5056,matched,high,exact_name,exact normalized name match,0
P1057,NP5057,matched,high,attributes_fuzzy,attribute block unique; name_sim=1.00,0
P1058,NP5058,matched,high,exact_name,exact normalized name match,0
P1059,NP5059,matched,high,attributes_fuzzy,attribute block unique; name_sim=1.00,0
P1060,NP5060,matched,high,exact_name,exact normalized name match,0
P1061,NP5061,matched,high,attributes_fuzzy,attribute block unique; name_sim=1.00,0
P1062,NP5062,matched,high,exact_name,exact normalized name match,0
P1063,NP5063,matched,high,attributes_fuzzy,attribute block unique; name_sim=1.00,0
P1064,NP5064,matched,high,exact_name,exact normalized name match,0
P1065,NP5065,matched,high,attributes_fuzzy,attribute block unique; name_sim=1.00,0
P1066,NP5066,matched,high,exact_name,exact normalized name match,0
P1067,NP5067,matched,high,attributes_fuzzy,attribute block unique; name_sim=1.00,0
P1068,NP5068,matched,high,exact_name,exact normalized name match,0
P1069,,unresolved,low,none,no candidate sharing launch_date+margin+department,1
P1070,NP5069,matched,medium,attributes_fuzzy,attribute block unique; name_sim=0.65,1
P1071,,unresolved,low,none,no candidate sharing launch_date+margin+department,1
P1072,NP5070,matched,medium,attributes_fuzzy,attribute block unique; name_sim=0.45,1
P1073,,unresolved,low,none,no candidate sharing launch_date+margin+department,1
P1074,NP5071,matched,medium,attributes_fuzzy,attribute block unique; name_sim=0.69,1
P1075,,unresolved,low,none,no candidate sharing launch_date+margin+department,1
P1076,NP5072,matched,medium,attributes_fuzzy,attribute block unique; name_sim=0.50,1
P1077,NP5073,possible_match,medium,attributes_fuzzy,two close candidates (NP5073 vs NP5077); picked higher name/price score,1
P1078,NP5078,possible_match,medium,attributes_fuzzy,two close candidates (NP5078 vs NP5074); picked higher name/price score,1
P1079,NP5075,possible_match,medium,attributes_fuzzy,two close candidates (NP5075 vs NP5079); picked higher name/price score,1
P1080,NP5076,possible_match,medium,attributes_fuzzy,two close candidates (NP5076 vs NP5080); picked higher name/price score,1
